大正新脩大藏經第 54 冊 No. 2135 梵語雜名


　　No. 2135

梵語雜名

　　翻經大德兼翰林待詔光定寺歸茲國沙門　禮言集

　　睿山沙門　真源較

　　有情身分

　　天　泥𭌯又素羅　deva蒪sura
　　銅　多(引)麼囉(二合)　tāmra

　　鍮石　里底(丁以反)　riti

　　金鐵　總名路賀　roha

　　鐵　阿野娑　ayasa

　　賓鐵　比拏　piṇa

　　真珠　目迦底(二合)　mukti

　　頗梨　薩頗置迦　sphaṭika

　　瑠璃　吠努(尼古反)璃野　vaiṇuriya

　　金剛　縛日羅(二合)　vajra

　　金鐵　寗曩(引)羅　nenāra

　　貝錢　劫縛(二合)拏　kvaṇa

　　錢　波拏　paṇa

　　將去　寧那　nena

　　將來　阿(引)儞　sādi

　　幾價　計底慕攞　ketimula

　　賤　三(去)麼囉誐(二合)　samargha

　　貴　麼賀麼(上)誐　mahāmaga

　　食　阿(引)賀羅　āhara

　　飲　薄羯多　pakata

　　羹　帶麼泥　tevaṇe

　　飲　播曩迦　panaka

　　酒　蘇羅又昧娜也　sura蒪medya

　　油　帝攞　tela

　　餅　滿拏　maṇḍa

　　粥　辟爾　mini

　　臛　捺羅嚩　drava

　　鹽　路拏　loṇa

　　鹽　羅嚩拏　lavaṇa

　　美　沒叻瑟吒　mṛṣṭa

　　蘇　伽里(二合)多　ghṛta

　　酪　娜地　dadhi

　　蜜　度麼　dhuma

　　栗　畢哩孕遇　pṛyaṃgu

　　醋　主訖迦　cukika

　　米　照(引)攞　cola

　　乳　吉史羅　kṣira

　　米　怛怒(尼古反)羅　tanura

　　麵　迦抳迦　kaṇika

　　麵　阿(引)吒　āṭa

　　喜團　攞覩迦　latuka

　　大麥　耶縛　yava

　　小麥　遇度麼　gudhuma

　　小豆　母誐　muga

　　豆　麼史(引)　maṣī

　　大豆　矩攞他　kulatha

　　漿　建旨迦　kacika

　　稻　舍(引)理　śāri

　　菜　舍(引)佉麼　śākama

　　蘿蔔　畒羅　mura

　　菲　櫱哩惹曩　gṛjana

　　親　羅他(引)　rthā

　　怨　娑訥嚕　śatro

　　童　矩麼羅　kumara

　　女人　悉咥哩　strī

　　童女　矩麼哩　kumari

　　丈夫　布嚕沙　purūṣa

　　閹人　舍拏　śaṇa

　　婦女　麼𠰘理　mahla

　　閹　捺本娑迦　dapūṃska

　　小兒　娜(引)囉迦　nāraka

　　女子　娜(引)哩迦　nārika

　　母　莾多(引)　matā

　　父　比多(引)　mitā

　　祖　比多(引)麼賀　pittāmahā

　　兒　補怛羅(二合)　pūttra

　　女　底呬多　ktita

　　兄弟　婆囉(二合)(引)多　bhrata

　　姉妹　縛疑儞婆　vaginibha

